didn, know, 
ll, one, 
ll, see, 
ll, get, 
ll, just, 
ll, can, 
ll, go, 
e, Chang, 
d, like, 
though, even, 
China, India, 
City, London, 
won, let, 
single, every, 
looks, like, 
five, years, 
million, people, 
Year, New, 
school, high, 
bit, little, 
show, going, 
year, last, 
year, old, 
year, every, 
last, years, 
old, years, 
make, sure, 
make, just, 
make, people, 
make, can, 
make, gonna, 
make, will, 
make, like, 
little, just, 
little, can, 
little, like, 
feel, can, 
feel, like, 
kind, think, 
kind, know, 
kind, like, 
come, back, 
even, just, 
even, people, 
even, can, 
even, know, 
spend, time, 
economic, growth, 
two, years, 
two, one, 
two, three, 
two, can, 
said, like, 
States, United, 
term, long, 
long, time, 
let, just, 
let, know, 
let, go, 
put, just, 
much, Thank, 
much, can, 
much, like, 
think, one, 
think, time, 
think, really, 
think, going, 
think, just, 
think, people, 
think, can, 
think, know, 
think, like, 
world, around, 
world, one, 
world, people, 
world, can, 
world, will, 
find, can, 
change, can, 
use, can, 
another, one, 
ago, years, 
many, people, 
one, three, 
one, right, 
one, day, 
one, way, 
one, time, 
one, going, 
one, get, 
one, just, 
one, things, 
one, people, 
one, thing, 
one, can, 
one, know, 
one, gonna, 
one, will, 
one, like, 
one, us, 
work, people, 
better, can, 
help, can, 
every, day, 
good, really, 
good, can, 
now, right, 
now, time, 
now, see, 
now, going, 
now, just, 
now, can, 
now, know, 
now, gonna, 
now, like, 
right, just, 
right, can, 
right, know, 
right, gonna, 
right, like, 
give, just, 
lot, people, 
way, get, 
way, just, 
way, people, 
way, can, 
way, know, 
way, like, 
time, see, 
time, get, 
time, first, 
time, just, 
time, people, 
time, can, 
time, know, 
time, will, 
see, really, 
see, going, 
see, just, 
see, people, 
see, can, 
see, know, 
see, actually, 
see, will, 
see, like, 
see, look, 
take, just, 
take, can, 
take, gonna, 
take, look, 
York, New, 
really, get, 
really, just, 
really, things, 
really, people, 
really, can, 
really, know, 
really, like, 
going, get, 
going, just, 
going, things, 
going, people, 
going, know, 
going, like, 
get, just, 
get, back, 
get, people, 
get, can, 
get, know, 
get, gonna, 
get, want, 
get, go, 
get, will, 
get, like, 
also, can, 
first, thing, 
just, back, 
just, people, 
just, can, 
just, know, 
just, say, 
just, Now, 
just, gonna, 
just, want, 
just, go, 
just, will, 
just, like, 
just, look, 
back, can, 
back, go, 
things, people, 
things, can, 
things, know, 
things, like, 
people, can, 
people, know, 
people, say, 
people, will, 
people, like, 
thing, can, 
something, can, 
something, know, 
something, like, 
can, know, 
can, actually, 
can, say, 
can, Now, 
can, want, 
can, go, 
can, will, 
can, tell, 
can, like, 
can, look, 
can, us, 
can, need, 
know, Now, 
know, gonna, 
know, want, 
know, go, 
know, like, 
know, us, 
know, need, 
say, like, 
Now, like, 
gonna, go, 
gonna, like, 
want, like, 
go, like, 
will, us, 
like, look, 
